location_id,borough,zone,centroid_x,centroid_y
4,Manhattan,Alphabet City,990633.980643454,202959.78239162272
12,Manhattan,Battery Park,979934.7306241285,195378.97286201795
13,Manhattan,Battery Park City,979792.3310291712,198691.5254375643
24,Manhattan,Bloomingdale,993807.2716568436,231458.37605564596
41,Manhattan,Central Harlem,997734.6452347699,232321.290547906
42,Manhattan,Central Harlem North,1000643.6322593023,237395.8715478468
43,Manhattan,Central Park,993789.0096979336,224356.21221153712
45,Manhattan,Chinatown,984762.469283647,198844.63611675482
48,Manhattan,Clinton East,987063.1857042019,216986.07003418246
50,Manhattan,Clinton West,985597.534388399,218437.8202849423
68,Manhattan,East Chelsea,984272.7786345114,211948.9124004859
74,Manhattan,East Harlem North,1001596.4821997061,231170.7231351315
75,Manhattan,East Harlem South,999272.1113850608,227103.75962498758
79,Manhattan,East Village,988147.6579915716,204368.50187544298
87,Manhattan,Financial District North,982171.7278875079,196785.9408440269
88,Manhattan,Financial District South,981057.2642995467,195528.9248000005
90,Manhattan,Flatiron,985089.2186531803,209708.7418478816
100,Manhattan,Garment District,987356.7623984256,213801.89033513595
104,Manhattan,Governor's Island/Ellis Island/Liberty Island,972944.8345518338,193859.36077553226
105,Manhattan,Governor's Island/Ellis Island/Liberty Island,978960.5655101098,190219.6738759988
107,Manhattan,Gramercy,988669.5907159669,207721.84599831776
113,Manhattan,Greenwich Village North,985828.4212628047,206174.92383378567
114,Manhattan,Greenwich Village South,984976.1217468228,204630.60798813085
116,Manhattan,Hamilton Heights,998496.7141232643,240584.40968548536
120,Manhattan,Highbridge Park,1003566.2603607555,247748.72753176547
125,Manhattan,Hudson Sq,982175.1477513816,203883.82011511616
127,Manhattan,Inwood,1006568.4872109158,254822.37005626204
128,Manhattan,Inwood Hill Park,1005166.5528618793,257117.89256401756
137,Manhattan,Kips Bay,990763.6157375486,209039.35389021187
140,Manhattan,Lenox Hill East,996787.6630516424,218166.43435262065
141,Manhattan,Lenox Hill West,995431.1975182528,218699.19272677804
142,Manhattan,Lincoln Square East,989365.0684747635,221132.7753492982
143,Manhattan,Lincoln Square West,987671.7097043255,221982.08549405652
144,Manhattan,Little Italy/NoLiTa,985104.1485250925,201915.7902762411
148,Manhattan,Lower East Side,986773.5460921936,201205.26489173816
151,Manhattan,Manhattan Valley,993063.3768612166,229997.64462564257
152,Manhattan,Manhattanville,997042.6288288619,237290.9067861568
153,Manhattan,Marble Hill,1009034.6862712658,258429.1415357122
158,Manhattan,Meatpacking/West Village West,981760.1630105713,207069.85524833892
161,Manhattan,Midtown Center,990428.5259896307,215447.5272238999
162,Manhattan,Midtown East,991908.5895674427,214959.58164218976
163,Manhattan,Midtown North,990463.795428988,217776.8824467348
164,Manhattan,Midtown South,988362.8334340784,212002.8930353048
166,Manhattan,Morningside Heights,994834.7872520887,234186.32687196054
170,Manhattan,Murray Hill,990209.6000628374,211701.31598082214
186,Manhattan,Penn Station/Madison Sq West,986345.3986002826,211974.4462185278
194,Manhattan,Randalls Island,1005129.3426640312,227468.71626549485
202,Manhattan,Roosevelt Island,998114.2657032622,216861.1622839399
209,Manhattan,Seaport,983234.0457177354,197610.8235766767
211,Manhattan,SoHo,983823.8071189568,203008.49133349792
224,Manhattan,Stuy Town/Peter Cooper Village,990735.9402968985,205899.41753040857
229,Manhattan,Sutton Place/Turtle Bay North,993906.172303669,214975.36687642592
230,Manhattan,Times Sq/Theatre District,988628.0600457706,216099.13976819027
231,Manhattan,TriBeCa/Civic Center,982065.7013859933,200780.5404273566
232,Manhattan,Two Bridges/Seward Park,988955.8875207301,199673.27702510695
233,Manhattan,UN/Turtle Bay South,992439.5608765966,212491.93584201983
234,Manhattan,Union Sq,986894.2367953612,209001.62663024908
236,Manhattan,Upper East Side North,996155.3867664873,223613.7535761809
237,Manhattan,Upper East Side South,993769.0237141158,219305.827825634
238,Manhattan,Upper West Side North,991712.7644430182,227717.51805940425
239,Manhattan,Upper West Side South,990167.4982920033,224895.87216485172
243,Manhattan,Washington Heights North,1002830.5879862525,251552.22868923834
244,Manhattan,Washington Heights South,1000464.3110465184,245939.8806584463
246,Manhattan,West Chelsea/Hudson Yards,983137.4661049042,213727.4000807691
249,Manhattan,West Village,983453.2246479206,206902.40799519923
261,Manhattan,World Trade Center,980639.5117707981,197635.17370314812
262,Manhattan,Yorkville East,999064.7250831138,221974.4007879432
263,Manhattan,Yorkville West,997817.9196590832,223005.98840900668
